Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACoS),Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate
2026-01-01,Phone Case Campaign,Phone Case Ad Group,phone case,BROAD,phone case for samsung,4520,89,1.97%,₹8.50,₹756.50,₹8991.00,8.41%,11.89,10,10,11.24%
2026-01-01,Phone Case Campaign,Phone Case Ad Group,phone case,BROAD,mobile cover premium,3200,62,1.94%,₹7.80,₹483.60,₹5394.00,8.97%,11.15,6,6,9.68%
2026-01-01,Phone Case Campaign,Phone Case Ad Group,phone case,BROAD,phone case transparent,2100,45,2.14%,₹6.20,₹279.00,₹0.00,0.00%,0.00,0,0,0.00%
2026-01-01,Phone Case Campaign,Phone Case Ad Group,phone case,BROAD,iphone case leather,1800,38,2.11%,₹9.10,₹345.80,₹0.00,0.00%,0.00,0,0,0.00%
2026-01-01,Phone Case Campaign,Phone Case Ad Group,phone case,BROAD,phone cover under 500,5200,110,2.12%,₹5.50,₹605.00,₹12587.00,4.81%,20.80,14,14,12.73%
2026-01-01,Earbuds Campaign,Earbuds Ad Group,wireless earbuds,BROAD,wireless earbuds bluetooth,6800,145,2.13%,₹12.30,₹1783.50,₹22491.00,7.93%,12.61,9,9,6.21%
2026-01-01,Earbuds Campaign,Earbuds Ad Group,wireless earbuds,BROAD,earbuds under 2000,4100,88,2.15%,₹10.50,₹924.00,₹14994.00,6.16%,16.22,6,6,6.82%
2026-01-01,Earbuds Campaign,Earbuds Ad Group,wireless earbuds,BROAD,tws earphone,3500,72,2.06%,₹11.20,₹806.40,₹0.00,0.00%,0.00,0,0,0.00%
2026-01-01,Earbuds Campaign,Earbuds Ad Group,wireless earbuds,BROAD,noise cancelling earbuds,2800,58,2.07%,₹14.50,₹841.00,₹0.00,0.00%,0.00,0,0,0.00%
2026-01-01,Earbuds Campaign,Earbuds Ad Group,wireless earbuds,BROAD,best earbuds india,3900,82,2.10%,₹11.80,₹967.60,₹7497.00,12.91%,7.75,3,3,3.66%
2026-01-01,Charger Campaign,Charger Ad Group,fast charger,BROAD,65w charger usb c,3200,68,2.13%,₹9.40,₹639.20,₹11691.00,5.47%,18.28,9,9,13.24%
2026-01-01,Charger Campaign,Charger Ad Group,fast charger,BROAD,fast charger for laptop,2100,44,2.10%,₹8.80,₹387.20,₹3897.00,9.94%,10.06,3,3,6.82%
2026-01-01,Charger Campaign,Charger Ad Group,fast charger,BROAD,charger type c,4800,98,2.04%,₹7.20,₹705.60,₹0.00,0.00%,0.00,0,0,0.00%
2026-01-01,Charger Campaign,Charger Ad Group,fast charger,BROAD,mobile charger original,1500,32,2.13%,₹6.80,₹217.60,₹0.00,0.00%,0.00,0,0,0.00%
2026-01-01,Charger Campaign,Charger Ad Group,fast charger,BROAD,samsung charger 65w,2200,46,2.09%,₹8.20,₹377.20,₹2598.00,14.52%,6.88,2,2,4.35%
